path,h1,h2,h3,nframes,fps,size,hash_bits,n_hashes,valid
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706200001_20240706203001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706203001_20240706210001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706210001_20240706213001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706213001_20240706220001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706220001_20240706223001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706223001_20240706230001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706230001_20240706233001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706233001_20240707000000.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707000000_20240707003001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707003001_20240707010001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707010001_20240707013001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707013001_20240707020001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707020001_20240707023001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707023001_20240707030001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707030001_20240707033001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707033001_20240707040001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707040001_20240707043001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240707043001_20240707050000.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706043000_20240706050002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706050002_20240706053002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706053002_20240706060002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706060002_20240706063002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706063002_20240706070002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706070002_20240706073002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706073002_20240706080002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706080002_20240706083002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706083002_20240706090002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706090002_20240706093003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706093003_20240706100002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706100002_20240706103002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706103002_20240706110002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706110002_20240706113002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706113002_20240706120002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706120002_20240706123002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706123002_20240706130002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch8_main_20240706130002_20240706133002.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
