Video,label_overlap(OurVideo),filename_overlap,hash_overlap,hash_ok,best_hash_match_path,best_hash_dist,final_overlap,reason
01.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,379.0,1,label_or_hash
03.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,370.0,1,label_or_hash
04.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,469.0,1,label_or_hash
05.MOV,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,407.0,1,label_or_hash
06.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,401.0,1,label_or_hash
08.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,390.0,1,label_or_hash
09.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,377.0,1,label_or_hash
11.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,313.0,1,label_or_hash
12.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,379.0,1,label_or_hash
13.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,415.0,1,label_or_hash
14.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,398.0,1,label_or_hash
15.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,357.0,1,label_or_hash
17.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,389.0,1,label_or_hash
21.MOV,1,0,0,0,,,1,label_or_hash
25.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,400.0,1,label_or_hash
26.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,381.0,1,label_or_hash
27.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,338.0,1,label_or_hash
29.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,421.0,1,label_or_hash
30.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,434.0,1,label_or_hash
31.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,370.0,1,label_or_hash
33.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,388.0,1,label_or_hash
34.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,357.0,1,label_or_hash
35.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,465.0,1,label_or_hash
36.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,377.0,1,label_or_hash
38.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,334.0,1,label_or_hash
40.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,297.0,1,label_or_hash
41.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,431.0,1,label_or_hash
42.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,340.0,1,label_or_hash
43.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,306.0,1,label_or_hash
44.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,370.0,1,label_or_hash
45.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,332.0,1,label_or_hash
46.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,355.0,1,label_or_hash
48.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,376.0,1,label_or_hash
49.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,406.0,1,label_or_hash
50.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,418.0,1,label_or_hash
51.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,371.0,1,label_or_hash
53.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,427.0,1,label_or_hash
54.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,337.0,1,label_or_hash
55.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,407.0,1,label_or_hash
56.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,397.0,1,label_or_hash
57.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,422.0,1,label_or_hash
58.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,357.0,1,label_or_hash
59.mp4,1,0,0,1,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,317.0,1,label_or_hash
